Optimal Slope: 38.0 deg.
G(i)	T2m
5.48	-5.79
26.48	-5.72
42.91	-6.39
61.17	-5.98
58.43	-5.63
48.39	-5.27
71.22	-5.01
86.74	-5.06
44.74	-5.24
2.74	-5.45
0.0	-5.71
0.0	-5.93
0.0	-6.18
0.0	-6.32
0.0	-6.57
0.0	-6.59
0.0	-6.8
0.0	-6.88
0.0	-6.72
0.0	-6.7
0.0	-6.84
0.0	-7.06
0.0	-7.32
0.0	-7.67
10.96	-7.92
26.48	-7.97
63.91	-7.35
147.56	-7.07
145.17	-6.67
164.88	-6.33
55.69	-6.21
47.48	-6.23
25.56	-6.53
1.83	-7.06
0.0	-7.65
0.0	-8.05
0.0	-8.41
0.0	-8.51
0.0	-8.66
0.0	-8.92
0.0	-9.13
0.0	-9.64
0.0	-10.44
0.0	-10.98
0.0	-11.33
0.0	-11.43
0.0	-11.31
0.0	-11.39
80.42	-11.03
121.99	-10.12
139.76	-9.65
175.82	-8.96
183.77	-8.32
189.48	-7.73
143.52	-7.37
96.78	-7.22
62.25	-7.37
2.74	-7.83
0.0	-8.26
0.0	-8.6
0.0	-8.88
0.0	-9.25
0.0	-10.42
0.0	-10.92
0.0	-11.38
0.0	-11.6
0.0	-11.97
0.0	-12.27
0.0	-12.65
0.0	-12.93
0.0	-13.34
0.0	-13.9
89.38	-14.29
97.48	-13.63
124.12	-10.68
174.8	-8.28
175.1	-6.46
177.87	-5.13
141.67	-4.17
117.13	-3.54
49.3	-3.38
2.74	-4.88
0.0	-6.91
0.0	-7.95
0.0	-11.36
0.0	-12.77
0.0	-13.86
0.0	-13.96
0.0	-13.67
0.0	-12.3
0.0	-10.83
0.0	-9.94
0.0	-8.2
0.0	-7.33
0.0	-6.62
0.0	-5.98
18.26	-5.39
36.52	-4.62
78.52	-3.22
120.52	-2.19
108.65	-1.29
132.39	-0.92
138.91	-0.79
47.48	-0.85
19.17	-0.98
4.57	-1.27
0.0	-1.53
0.0	-1.87
0.0	-2.04
0.0	-2.57
0.0	-3.01
0.0	-3.19
0.0	-3.77
0.0	-4.0
0.0	-4.36
0.0	-4.67
0.0	-4.92
0.0	-5.38
0.0	-5.87
0.0	-5.66
356.3	-5.49
27.39	-3.96
77.61	-1.69
84.0	0.2
99.52	1.25
94.95	1.91
112.3	2.26
92.21	2.38
33.78	2.22
3.65	1.63
0.0	1.06
0.0	0.73
0.0	0.57
0.0	0.51
0.0	0.34
0.0	0.18
0.0	-0.35
0.0	-1.42
0.0	-2.3
0.0	-2.85
0.0	-3.36
0.0	-3.91
0.0	-4.66
0.0	-5.17
7.3	-5.72
45.65	-5.39
89.48	-5.1
129.65	-4.68
170.11	-4.44
110.48	-4.2
124.17	-4.12
33.78	-4.19
31.96	-4.21
3.65	-4.6
0.0	-5.04
0.0	-5.51
0.0	-5.88
0.0	-6.06
0.0	-6.31
0.0	-5.9
0.0	-5.18
0.0	-4.22
0.0	-3.41
0.0	-2.8
0.0	-2.59
0.0	-2.36
0.0	-2.13
